beta,Rate,ActiveDims,EffectiveDims,MeanSigma,MedianSigma,MeanAbsMu
0.0,769.4844970703125,128,123.19583892822266,0.034959517419338226,0.034343212842941284,1.8173191547393799
1e-06,718.0962524414062,128,122.59590911865234,0.04945364594459534,0.049062810838222504,1.8044321537017822
3e-06,661.1431884765625,128,121.98717498779297,0.0719171091914177,0.07135467976331711,1.7814878225326538
1e-05,576.0911254882812,128,121.55867767333984,0.11289768666028976,0.11235399544239044,1.708481788635254
3e-05,472.479248046875,128,121.8342514038086,0.16195595264434814,0.16133913397789001,1.5506776571273804
0.0001,338.115966796875,128,122.81146240234375,0.22858472168445587,0.22843962907791138,1.2692115306854248
0.0003,222.94186401367188,128,123.36614990234375,0.31286531686782837,0.31323736906051636,0.9852132201194763
0.001,122.4925765991211,128,121.37652587890625,0.4654259979724884,0.4639796018600464,0.7467094659805298
0.003,67.32627868652344,128,118.35758209228516,0.6156739592552185,0.6147761344909668,0.5868320465087891
0.01,33.73514938354492,128,114.96794891357422,0.7710474133491516,0.7771391272544861,0.4514261484146118
